"FIPS","County","Year","Population","Primary Point"
"19141","O'Brien County","July 01, 2022","14,107","POINT (-95.6248784 43.0837527)"
"19173","Taylor County","April 01, 2020","5,896","POINT (-94.6964148 40.7374324)"
"19165","Shelby County","July 01, 2014","11,878","POINT (-95.3102113 41.6850926)"
"19063","Emmet County","July 01, 1997","11,338","POINT (-94.6784803 43.3780225)"
"19105","Jones County","July 01, 2016","20,392","POINT (-91.1314352 42.1212397)"
"19191","Winneshiek County","July 01, 2008","20,711","POINT (-91.8437074 43.2906746)"
"19183","Washington County","April 01, 2020","22,565","POINT (-91.7178676 41.335591)"
"19131","Mitchell County","July 01, 2006","10,807","POINT (-92.7890315 43.3564124)"
"19165","Shelby County","July 01, 1999","13,256","POINT (-95.3102113 41.6850926)"
"19045","Clinton County","April 01, 2000","50,149","POINT (-90.5319724 41.8980358)"
"19151","Pocahontas County","July 01, 2013","7,112","POINT (-94.6787466 42.7341351)"
"19109","Kossuth County","July 01, 1994","17,983","POINT (-94.2067199 43.20413)"
"19009","Audubon County","July 01, 2015","5,711","POINT (-94.9058222 41.6845893)"
"19071","Fremont County","April 01, 2020","6,605","POINT (-95.6046765 40.7455892)"
"19019","Buchanan County","July 01, 2011","20,911","POINT (-91.8378392 42.4707777)"
"19145","Page County","July 01, 2009","15,260","POINT (-95.1501747 40.7391444)"
"19131","Mitchell County","April 01, 2010","10,776","POINT (-92.7890315 43.3564124)"
"19047","Crawford County","July 01, 2022","16,135","POINT (-95.3819678 42.0372125)"
"19009","Audubon County","July 01, 2009","6,032","POINT (-94.9058222 41.6845893)"
"19093","Ida County","July 01, 2018","6,846","POINT (-95.5134962 42.3868747)"
"19195","Worth County","July 01, 2021","7,374","POINT (-93.2608476 43.3773984)"
"19119","Lyon County","April 01, 1990","11,952","POINT (-96.2102924 43.380497)"
"19197","Wright County","July 01, 1996","14,674","POINT (-93.7351465 42.7331189)"
"19037","Chickasaw County","July 01, 1993","13,218","POINT (-92.3176637 43.0600414)"
